# User: Politechnika Gdańska
# Host: DESKTOP-69S5BNK
# Platform: Windows-11-10.0.26100-SP0
# Time: 2025-09-04T14:35:52.348134

wavelength[nm],intensity[nW]
1440.699951172,0.000000314
1440.739990234,0.000000311
1440.780029297,0.000000298
1440.820068359,0.000000294
1440.859985352,0.000000328
1440.899902344,0.000000317
1440.939941406,0.000000305
1440.979980469,0.000000328
1441.020019531,0.000000334
1441.060058594,0.000000339
1441.100097656,0.000000348
1441.139892578,0.000000330
1441.179931641,0.000000310
1441.219970703,0.000000294
1441.260009766,0.000000273
1441.300048828,0.000000308
1441.340087891,0.000000300
1441.380004883,0.000000306
1441.419921875,0.000000322
1441.459960938,0.000000284
1441.500000000,0.000000284
1441.540039062,0.000000321
1441.580078125,0.000000318
1441.619995117,0.000000286
1441.659912109,0.000000281
1441.699951172,0.000000300
1441.739990234,0.000000315
1441.780029297,0.000000336
1441.820068359,0.000000317
1441.859985352,0.000000332
1441.900024414,0.000000320
1441.939941406,0.000000327
1441.979980469,0.000000327
1442.020019531,0.000000330
1442.060058594,0.000000309
1442.099975586,0.000000298
1442.140014648,0.000000299
1442.179931641,0.000000320
1442.219970703,0.000000319
1442.260009766,0.000000351
1442.300048828,0.000000326
1442.339965820,0.000000338
1442.380004883,0.000000358
1442.419921875,0.000000338
1442.459960938,0.000000326
1442.500000000,0.000000307
1442.540039062,0.000000321
1442.579956055,0.000000348
1442.619995117,0.000000332
1442.660034180,0.000000340
1442.699951172,0.000000303
1442.739990234,0.000000337
1442.780029297,0.000000325
1442.820068359,0.000000329
1442.859985352,0.000000329
1442.900024414,0.000000308
1442.939941406,0.000000279
1442.979980469,0.000000310
1443.020019531,0.000000330
1443.060058594,0.000000348
1443.099975586,0.000000343
1443.140014648,0.000000330
1443.180053711,0.000000335
1443.219970703,0.000000356
1443.260009766,0.000000349
1443.300048828,0.000000324
1443.339965820,0.000000350
1443.380004883,0.000000349
1443.420043945,0.000000346
1443.459960938,0.000000350
1443.500000000,0.000000348
1443.540039062,0.000000356
1443.579956055,0.000000371
1443.619995117,0.000000350
1443.660034180,0.000000368
1443.699951172,0.000000352
1443.739990234,0.000000363
1443.780029297,0.000000326
1443.819946289,0.000000309
1443.859985352,0.000000352
1443.900024414,0.000000346
1443.940063477,0.000000349
1443.979980469,0.000000335
1444.020019531,0.000000359
1444.059936523,0.000000370
1444.099975586,0.000000338
1444.140014648,0.000000328
1444.180053711,0.000000305
1444.219970703,0.000000333
1444.260009766,0.000000324
1444.299926758,0.000000370
1444.339965820,0.000000337
1444.380004883,0.000000369
1444.420043945,0.000000366
1444.460083008,0.000000372
1444.500000000,0.000000372
1444.539916992,0.000000383
1444.579956055,0.000000331
1444.619995117,0.000000330
1444.660034180,0.000000338
1444.700073242,0.000000355
1444.739990234,0.000000371
1444.780029297,0.000000342
1444.819946289,0.000000341
1444.859985352,0.000000375
1444.900024414,0.000000365
1444.940063477,0.000000362
1444.979980469,0.000000328
1445.020019531,0.000000373
1445.059936523,0.000000354
1445.099975586,0.000000352
1445.140014648,0.000000371
1445.180053711,0.000000373
1445.220092773,0.000000370
1445.260009766,0.000000379
1445.299926758,0.000000384
1445.339965820,0.000000376
1445.380004883,0.000000387
1445.420043945,0.000000349
1445.460083008,0.000000326
1445.500000000,0.000000327
1445.539916992,0.000000339
1445.579956055,0.000000360
1445.619995117,0.000000370
1445.660034180,0.000000361
1445.700073242,0.000000368
1445.740112305,0.000000339
1445.779907227,0.000000348
1445.819946289,0.000000355
1445.859985352,0.000000327
1445.900024414,0.000000348
1445.940063477,0.000000349
1445.980102539,0.000000346
1446.019897461,0.000000364
1446.059936523,0.000000396
1446.099975586,0.000000394
1446.140014648,0.000000382
1446.180053711,0.000000372
1446.220092773,0.000000377
1446.259887695,0.000000350
1446.299926758,0.000000349
1446.339965820,0.000000365
1446.380004883,0.000000393
1446.420043945,0.000000399
1446.460083008,0.000000384
1446.500000000,0.000000401
1446.539916992,0.000000409
1446.579956055,0.000000406
1446.619995117,0.000000403
1446.660034180,0.000000363
1446.700073242,0.000000358
1446.739990234,0.000000370
1446.779907227,0.000000347
1446.819946289,0.000000401
1446.859985352,0.000000411
1446.900024414,0.000000400
1446.940063477,0.000000397
1446.979980469,0.000000423
1447.020019531,0.000000401
1447.059936523,0.000000410
1447.099975586,0.000000388
1447.140014648,0.000000365
1447.180053711,0.000000348
1447.219970703,0.000000385
1447.260009766,0.000000402
1447.299926758,0.000000427
1447.339965820,0.000000419
1447.380004883,0.000000448
1447.420043945,0.000000401
1447.460083008,0.000000416
1447.500000000,0.000000419
1447.539916992,0.000000413
1447.579956055,0.000000391
1447.619995117,0.000000380
1447.660034180,0.000000395
1447.700073242,0.000000405
1447.739990234,0.000000390
1447.780029297,0.000000432
1447.819946289,0.000000408
1447.859985352,0.000000420
1447.900024414,0.000000440
1447.940063477,0.000000412
1447.979980469,0.000000408
1448.020019531,0.000000385
1448.059936523,0.000000422
1448.099975586,0.000000409
1448.140014648,0.000000422
1448.180053711,0.000000438
1448.219970703,0.000000441
1448.260009766,0.000000423
1448.300048828,0.000000428
1448.339965820,0.000000437
1448.380004883,0.000000398
1448.420043945,0.000000423
1448.459960938,0.000000412
1448.500000000,0.000000404
1448.540039062,0.000000384
1448.579956055,0.000000447
1448.619995117,0.000000416
1448.660034180,0.000000459
1448.699951172,0.000000440
1448.739990234,0.000000438
1448.780029297,0.000000442
1448.819946289,0.000000386
1448.859985352,0.000000407
1448.900024414,0.000000425
1448.939941406,0.000000418
